Country,Time,Balance,Product,Value,Unit,Month,Year
Colombia,2025-12-01,Net Electricity Production,Renovable,5530.6545,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,No Renovable,483.3555,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,No Renovable,287.5943,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,No Renovable,764.041,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,Renovable,229.6775,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,Renovable,479.8602,GWh,12,2025
Colombia,2025-12-01,Net Electricity Production,Renovable,19.7951,GWh,12,2025
Colombia,2025-11-01,Net Electricity Production,Renovable,5373.674,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,No Renovable,271.8022,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,No Renovable,264.3055,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,No Renovable,873.5987,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,Renovable,229.6524,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,Renovable,395.3523,GWh,11,2025
Colombia,2025-11-01,Net Electricity Production,Renovable,17.6558,GWh,11,2025
Colombia,2025-10-01,Net Electricity Production,Renovable,5653.8311,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,No Renovable,226.4676,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,No Renovable,258.6174,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,No Renovable,828.252,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,Renovable,229.6525,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,Renovable,430.3826,GWh,10,2025
Colombia,2025-10-01,Net Electricity Production,Renovable,5.7056,GWh,10,2025
Colombia,2025-09-01,Net Electricity Production,Renovable,5305.5058,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,No Renovable,418.4064,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,No Renovable,256.9304,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,No Renovable,912.7382,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,Renovable,229.6678,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,Renovable,416.133,GWh,9,2025
Colombia,2025-09-01,Net Electricity Production,Renovable,12.5053,GWh,9,2025
Colombia,2025-08-01,Net Electricity Production,Renovable,5518.1599,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,No Renovable,365.7318,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,No Renovable,255.6444,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,No Renovable,863.5921,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,Renovable,229.6652,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,Renovable,401.2606,GWh,8,2025
Colombia,2025-08-01,Net Electricity Production,Renovable,11.0819,GWh,8,2025
Colombia,2025-07-01,Net Electricity Production,Renovable,5692.3462,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,No Renovable,144.3021,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,No Renovable,256.5927,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,No Renovable,936.7228,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,Renovable,229.6602,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,Renovable,381.2928,GWh,7,2025
Colombia,2025-07-01,Net Electricity Production,Renovable,20.1082,GWh,7,2025
Colombia,2025-06-01,Net Electricity Production,Renovable,5304.9488,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,No Renovable,238.329,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,No Renovable,257.8631,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,No Renovable,850.2981,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,Renovable,229.6525,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,Renovable,336.6562,GWh,6,2025
Colombia,2025-06-01,Net Electricity Production,Renovable,17.5047,GWh,6,2025
Colombia,2025-05-01,Net Electricity Production,Renovable,5640.4324,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,No Renovable,227.3525,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,No Renovable,255.647,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,No Renovable,816.352,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,Renovable,229.6052,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,Renovable,345.8165,GWh,5,2025
Colombia,2025-05-01,Net Electricity Production,Renovable,14.618,GWh,5,2025
Colombia,2025-04-01,Net Electricity Production,Renovable,5260.3659,GWh,4,2025
Colombia,2025-04-01,Net Electricity Production,No Renovable,188.8897,GWh,4,2025
Colombia,2025-04-01,Net Electricity Production,No Renovable,258.6075,GWh,4,2025
Colombia,2025-04-01,Net Electricity Production,No Renovable,886.1482,GWh,4,2025
Colombia,2025-04-01,Net Electricity Production,Renovable,229.6317,GWh,4,2025
Colombia,2025-04-01,Net Electricity Production,Renovable,344.09,GWh,4,2025
