Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año],Energía [kWh/año],Emisiones CO2 [Ton/días]
Autog celsia solar yumbo,Solar,9.8,Valle del cauca,Yumbo,76,76892,2017-03-09,47040.0,8157,42140000000.0,68,13736.0,17169600.0,37.632876712328766
Celsia solar bolivar,Solar,8.06,Bolívar,Santa rosa,13,13683,2019-02-01,38688.0,6709,34658000000.0,56,11297.0,14121120.0,30.95068493150685
El paso solar (enel green power),Solar,67.0,Cesar,El paso,20,20250,2019-04-05,321600.0,55769,288100000000.0,466,93907.0,117384000.0,257.27945205479455
Solar castilla ecp,Solar,20.0,Meta,Castilla la nueva,50,50150,2019-10-10,96000.0,16647,86000000000.0,139,28032.0,35040000.0,76.8
Agpe tecnoempaques de occidente,Solar,0.1,Valle del cauca,Cali,76,76001,2019-12-19,480.0,83,430000000.0,1,140.0,175200.0,0.3835616438356164
Radar fac san andrés,Solar,0.01,"Archipiélago de san andrés, providencia y santa catalina",San andrés,88,88001,2019-12-30,48.0,8,43000000.0,0,14.0,17520.0,0.038356164383561646
Agpe sfv mcdonalds soledad,Solar,0.09,Atlántico,Soledad,8,8758,2020-02-27,432.0,75,387000000.0,1,126.0,157680.0,0.3452054794520548
Celsia solar espinal,Solar,9.9,Tolima,Espinal,73,73268,2020-05-31,47520.0,8240,42570000000.0,69,13876.0,17344800.0,38.016438356164386
Federación nacional de cafeteros,Solar,0.08,Tolima,Ibagué,73,73001,2020-09-02,384.0,67,344000000.0,1,112.0,140160.0,0.30684931506849317
Paneles solares isa,Solar,0.25,Antioquia,Medellín,5,5001,2020-09-04,1200.0,208,1075000000.0,2,350.0,438000.0,0.958904109589041
Sena pedregal,Solar,0.2,Antioquia,Medellín,5,5001,2020-09-04,960.0,166,860000000.0,1,280.0,350400.0,0.7671232876712328
Unguía 181 hogares + 5 escuelas,Solar,0.15,Chocó,Unguía,27,27800,2020-09-07,720.0,125,645000000.0,1,210.0,262800.0,0.5753424657534246
Bosques solares de los llanos 1,Solar,19.9,Meta,Puerto gaitán,50,50568,2020-09-10,95520.0,16564,85570000000.0,139,27892.0,34864800.0,76.41643835616438
Bayunca 1,Solar,3.0,Bolívar,Cartagena de indias,13,13001,2020-09-30,14400.0,2497,12900000000.0,21,4205.0,5256000.0,11.520547945205479
Plasticel (autoconsumo),Solar,1.5,Valle del cauca,Yumbo,76,76892,2020-10-01,7200.0,1249,6450000000.0,10,2102.0,2628000.0,5.758904109589041
Utp,Solar,0.6,Risaralda,Pereira,66,66001,2020-10-15,2880.0,499,2580000000.0,4,841.0,1051200.0,2.304109589041096
Aeropuerto,Solar,0.55,Risaralda,Pereira,66,66001,2020-10-15,2640.0,458,2365000000.0,4,771.0,963600.0,2.1123287671232878
Ukumari,Solar,0.23,Risaralda,Pereira,66,66001,2020-10-15,1104.0,191,989000000.0,2,322.0,402960.0,0.8821917808219178
