Country,Balance,Time,Product,Value,Unit,Month,Year
Colombia,Net Electricity Production,2025-12-01,Electricity,7794.9781,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Hydro,5530.6545,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Total Combustible Fuels,1764.6682,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,"Coal, Peat and Manufactured Gases",483.3555,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Oil and Petroleum Products,287.5943,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Natural Gas,764.041,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Combustible Renewables,229.6775,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Solar,479.8602,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6259.9873,GWh,12,2025
Colombia,Total Imports,2025-12-01,Electricity,1.3571,GWh,12,2025
Colombia,Total Exports,2025-12-01,Electricity,179.8294,GWh,12,2025
Colombia,Distribution Losses,2025-12-01,Electricity,711.4475,GWh,12,2025
Colombia,Final Consumption (Calculated),2025-12-01,Electricity,6905.0583,GWh,12,2025
Colombia,Net Electricity Production,2025-12-01,Wind,19.7951,GWh,12,2025
Colombia,Net Electricity Production,2025-11-01,Electricity,7426.041,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Hydro,5373.674,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Total Combustible Fuels,1639.3589,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,"Coal, Peat and Manufactured Gases",271.8022,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Oil and Petroleum Products,264.3055,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Natural Gas,873.5987,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Combustible Renewables,229.6524,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Solar,395.3523,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6016.3345,GWh,11,2025
Colombia,Total Imports,2025-11-01,Electricity,18.7089,GWh,11,2025
Colombia,Total Exports,2025-11-01,Electricity,5.0502,GWh,11,2025
Colombia,Distribution Losses,2025-11-01,Electricity,684.6936,GWh,11,2025
Colombia,Final Consumption (Calculated),2025-11-01,Electricity,6755.0061,GWh,11,2025
Colombia,Net Electricity Production,2025-11-01,Wind,17.6558,GWh,11,2025
Colombia,Net Electricity Production,2025-10-01,Electricity,7632.9088,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Hydro,5653.8311,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Total Combustible Fuels,1542.9895,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,"Coal, Peat and Manufactured Gases",226.4676,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Oil and Petroleum Products,258.6174,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Natural Gas,828.252,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Combustible Renewables,229.6525,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Solar,430.3826,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6319.5718,GWh,10,2025
Colombia,Total Imports,2025-10-01,Electricity,0.6742,GWh,10,2025
Colombia,Total Exports,2025-10-01,Electricity,44.1907,GWh,10,2025
Colombia,Distribution Losses,2025-10-01,Electricity,633.2142,GWh,10,2025
Colombia,Final Consumption (Calculated),2025-10-01,Electricity,6956.1781,GWh,10,2025
Colombia,Net Electricity Production,2025-10-01,Wind,5.7056,GWh,10,2025
Colombia,Net Electricity Production,2025-09-01,Electricity,7551.8868,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Hydro,5305.5058,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Total Combustible Fuels,1817.7428,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,"Coal, Peat and Manufactured Gases",418.4064,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Oil and Petroleum Products,256.9304,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Natural Gas,912.7382,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Combustible Renewables,229.6678,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Solar,416.133,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5963.8118,GWh,9,2025
Colombia,Total Imports,2025-09-01,Electricity,6.9247,GWh,9,2025
Colombia,Total Exports,2025-09-01,Electricity,54.8601,GWh,9,2025
Colombia,Distribution Losses,2025-09-01,Electricity,622.0962,GWh,9,2025
Colombia,Final Consumption (Calculated),2025-09-01,Electricity,6881.8552,GWh,9,2025
Colombia,Net Electricity Production,2025-09-01,Wind,12.5053,GWh,9,2025
Colombia,Net Electricity Production,2025-08-01,Electricity,7645.1359,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Hydro,5518.1599,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Total Combustible Fuels,1714.6335,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,"Coal, Peat and Manufactured Gases",365.7318,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Oil and Petroleum Products,255.6444,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Natural Gas,863.5921,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Combustible Renewables,229.6652,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Solar,401.2606,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Not Specified,0,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6160.1676,GWh,8,2025
Colombia,Total Imports,2025-08-01,Electricity,0.649,GWh,8,2025
Colombia,Total Exports,2025-08-01,Electricity,29.3566,GWh,8,2025
Colombia,Distribution Losses,2025-08-01,Electricity,621.1743,GWh,8,2025
Colombia,Final Consumption (Calculated),2025-08-01,Electricity,6995.2541,GWh,8,2025
Colombia,Net Electricity Production,2025-08-01,Wind,11.0819,GWh,8,2025
Colombia,Net Electricity Production,2025-07-01,Electricity,7661.0251,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Hydro,5692.3462,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Total Combustible Fuels,1567.2779,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,"Coal, Peat and Manufactured Gases",144.3021,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Oil and Petroleum Products,256.5927,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Natural Gas,936.7228,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Combustible Renewables,229.6602,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Solar,381.2928,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Not Specified,0,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6323.4075,GWh,7,2025
Colombia,Total Imports,2025-07-01,Electricity,0.1653,GWh,7,2025
Colombia,Total Exports,2025-07-01,Electricity,4.1308,GWh,7,2025
Colombia,Distribution Losses,2025-07-01,Electricity,564.6788,GWh,7,2025
Colombia,Final Consumption (Calculated),2025-07-01,Electricity,7092.3809,GWh,7,2025
Colombia,Net Electricity Production,2025-07-01,Wind,20.1082,GWh,7,2025
Colombia,Net Electricity Production,2025-06-01,Electricity,7235.2524,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Hydro,5304.9488,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Total Combustible Fuels,1576.1426,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,"Coal, Peat and Manufactured Gases",238.329,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Oil and Petroleum Products,257.8631,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Natural Gas,850.2981,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Combustible Renewables,229.6525,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Solar,336.6562,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Not Specified,0,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5888.7622,GWh,6,2025
Colombia,Total Imports,2025-06-01,Electricity,0.1293,GWh,6,2025
Colombia,Total Exports,2025-06-01,Electricity,1.0982,GWh,6,2025
Colombia,Distribution Losses,2025-06-01,Electricity,532.474,GWh,6,2025
Colombia,Final Consumption (Calculated),2025-06-01,Electricity,6701.8095,GWh,6,2025
Colombia,Net Electricity Production,2025-06-01,Wind,17.5047,GWh,6,2025
Colombia,Net Electricity Production,2025-05-01,Electricity,7529.8237,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Hydro,5640.4324,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Total Combustible Fuels,1528.9567,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,"Coal, Peat and Manufactured Gases",227.3525,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Oil and Petroleum Products,255.647,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Natural Gas,816.352,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Combustible Renewables,229.6052,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Solar,345.8165,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Not Specified,0,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6230.4722,GWh,5,2025
Colombia,Total Imports,2025-05-01,Electricity,0.1035,GWh,5,2025
Colombia,Total Exports,2025-05-01,Electricity,2.1952,GWh,5,2025
Colombia,Distribution Losses,2025-05-01,Electricity,538.2436,GWh,5,2025
Colombia,Final Consumption (Calculated),2025-05-01,Electricity,6989.4884,GWh,5,2025
Colombia,Net Electricity Production,2025-05-01,Wind,14.618,GWh,5,2025
Colombia,Net Electricity Production,2025-04-01,Electricity,7183.3813,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Hydro,5260.3659,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Total Combustible Fuels,1563.277,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,"Coal, Peat and Manufactured Gases",188.8897,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Oil and Petroleum Products,258.6075,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Natural Gas,886.1482,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Combustible Renewables,229.6317,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Solar,344.09,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,Not Specified,0,GWh,4,2025
Colombia,Net Electricity Production,2025-04-01,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5849.736,GWh,4,2025
Colombia,Total Imports,2025-04-01,Electricity,2.5413,GWh,4,2025
Colombia,Total Exports,2025-04-01,Electricity,8.9584,GWh,4,2025
Colombia,Distribution Losses,2025-04-01,Electricity,526.4019,GWh,4,2025
